Date,Product,Price
2025-06-05,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",271850
2025-06-07,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",267600
2025-06-10,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",270100
2025-06-11,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",271600
2025-06-12,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",274100
2025-06-18,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",277600
2025-06-19,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",279850
2025-06-24,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",286350
2025-06-25,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",281600
2025-06-26,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",279350
2025-06-28,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",280850
2025-07-02,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",278350
2025-07-05,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",276100
2025-07-11,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",278850
2025-07-17,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",275600
2025-07-22,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",284600
2025-07-29,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",283850
2025-08-01,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",282100
2025-07-19,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",279100
2025-07-26,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",286100
2025-08-05,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",281350
2025-08-07,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",283350
2025-08-08,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",286100
2025-08-12,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",282850
2025-08-13,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",284850
2025-08-14,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",286850
2025-08-19,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",282350
2025-08-20,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",280100
2025-08-26,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",275850
2025-08-27,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",278850
2025-09-02,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",280600
2025-09-12,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",284850
2025-09-17,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",291850
2025-09-18,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",286600
2025-09-23,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",285350
2025-09-25,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",283100
2025-09-26,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",286600
2025-09-27,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",284850
2025-09-30,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",287850
2025-10-09,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",296350
2025-10-10,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",299850
2025-10-15,"Billets (AA6063) Dia 7"", 8"" & 9"" - subject to availability",294850
