Date,Product,Price
2025-06-05,CG Grade Ingot & Sow 99.5% (min) purity,253750
2025-06-07,CG Grade Ingot & Sow 99.5% (min) purity,249500
2025-06-10,CG Grade Ingot & Sow 99.5% (min) purity,252000
2025-06-11,CG Grade Ingot & Sow 99.5% (min) purity,253500
2025-06-12,CG Grade Ingot & Sow 99.5% (min) purity,256000
2025-06-18,CG Grade Ingot & Sow 99.5% (min) purity,259500
2025-06-19,CG Grade Ingot & Sow 99.5% (min) purity,261750
2025-06-24,CG Grade Ingot & Sow 99.5% (min) purity,268250
2025-06-25,CG Grade Ingot & Sow 99.5% (min) purity,263500
2025-06-26,CG Grade Ingot & Sow 99.5% (min) purity,261250
2025-06-28,CG Grade Ingot & Sow 99.5% (min) purity,262750
2025-07-02,CG Grade Ingot & Sow 99.5% (min) purity,260250
2025-07-05,CG Grade Ingot & Sow 99.5% (min) purity,258000
2025-07-11,CG Grade Ingot & Sow 99.5% (min) purity,260750
2025-07-17,CG Grade Ingot & Sow 99.5% (min) purity,257500
2025-07-22,CG Grade Ingot & Sow 99.5% (min) purity,266500
2025-07-29,CG Grade Ingot & Sow 99.5% (min) purity,265750
2025-08-01,CG Grade Ingot & Sow 99.5% (min) purity,264000
2025-07-19,CG Grade Ingot & Sow 99.5% (min) purity,261000
2025-07-26,CG Grade Ingot & Sow 99.5% (min) purity,268000
2025-08-05,CG Grade Ingot & Sow 99.5% (min) purity,263250
2025-08-07,CG Grade Ingot & Sow 99.5% (min) purity,265250
2025-08-08,CG Grade Ingot & Sow 99.5% (min) purity,268000
2025-08-12,CG Grade Ingot & Sow 99.5% (min) purity,264750
2025-08-13,CG Grade Ingot & Sow 99.5% (min) purity,266750
2025-08-14,CG Grade Ingot & Sow 99.5% (min) purity,268750
2025-08-19,CG Grade Ingot & Sow 99.5% (min) purity,264250
2025-08-20,CG Grade Ingot & Sow 99.5% (min) purity,262000
2025-08-26,CG Grade Ingot & Sow 99.5% (min) purity,257750
2025-08-27,CG Grade Ingot & Sow 99.5% (min) purity,260750
2025-09-02,CG Grade Ingot & Sow 99.5% (min) purity,262500
2025-09-12,CG Grade Ingot & Sow 99.5% (min) purity,266750
2025-09-17,CG Grade Ingot & Sow 99.5% (min) purity,273750
2025-09-18,CG Grade Ingot & Sow 99.5% (min) purity,268500
2025-09-23,CG Grade Ingot & Sow 99.5% (min) purity,267250
2025-09-25,CG Grade Ingot & Sow 99.5% (min) purity,265000
2025-09-26,CG Grade Ingot & Sow 99.5% (min) purity,268500
2025-09-27,CG Grade Ingot & Sow 99.5% (min) purity,266750
2025-09-30,CG Grade Ingot & Sow 99.5% (min) purity,269750
2025-10-09,CG Grade Ingot & Sow 99.5% (min) purity,278250
2025-10-10,CG Grade Ingot & Sow 99.5% (min) purity,281750
2025-10-15,CG Grade Ingot & Sow 99.5% (min) purity,276750
2025-10-24,CG Grade Ingot & Sow 99.5% (min) purity,284750
2025-10-28,CG Grade Ingot & Sow 99.5% (min) purity,288250
2025-10-30,CG Grade Ingot & Sow 99.5% (min) purity,290250
2025-10-31,CG Grade Ingot & Sow 99.5% (min) purity,285000
2025-11-01,CG Grade Ingot & Sow 99.5% (min) purity,291000
2025-11-04,CG Grade Ingot & Sow 99.5% (min) purity,293000
2025-11-05,CG Grade Ingot & Sow 99.5% (min) purity,287750
2025-11-11,CG Grade Ingot & Sow 99.5% (min) purity,289250
2025-11-12,CG Grade Ingot & Sow 99.5% (min) purity,286750
2025-11-14,CG Grade Ingot & Sow 99.5% (min) purity,290000
2025-11-15,CG Grade Ingot & Sow 99.5% (min) purity,286000
2025-11-18,CG Grade Ingot & Sow 99.5% (min) purity,282250
2025-11-19,CG Grade Ingot & Sow 99.5% (min) purity,277750
2025-11-20,CG Grade Ingot & Sow 99.5% (min) purity,281250
2025-11-22,CG Grade Ingot & Sow 99.5% (min) purity,282500
2025-11-25,CG Grade Ingot & Sow 99.5% (min) purity,285500
2025-11-26,CG Grade Ingot & Sow 99.5% (min) purity,288250
2025-11-27,CG Grade Ingot & Sow 99.5% (min) purity,292750
2025-11-28,CG Grade Ingot & Sow 99.5% (min) purity,291250
2025-12-02,CG Grade Ingot & Sow 99.5% (min) purity,298250
2025-12-06,CG Grade Ingot & Sow 99.5% (min) purity,300000
2025-12-09,CG Grade Ingot & Sow 99.5% (min) purity,302500
2025-12-10,CG Grade Ingot & Sow 99.5% (min) purity,299000
2025-12-13,CG Grade Ingot & Sow 99.5% (min) purity,302500
2025-12-17,CG Grade Ingot & Sow 99.5% (min) purity,304000
2025-12-20,CG Grade Ingot & Sow 99.5% (min) purity,308750
2025-12-23,CG Grade Ingot & Sow 99.5% (min) purity,306750
2025-12-24,CG Grade Ingot & Sow 99.5% (min) purity,310250
2025-12-31,CG Grade Ingot & Sow 99.5% (min) purity,314000
2026-01-03,CG Grade Ingot & Sow 99.5% (min) purity,318750
2026-01-06,CG Grade Ingot & Sow 99.5% (min) purity,322750
2026-01-07,CG Grade Ingot & Sow 99.5% (min) purity,329500
2026-01-09,CG Grade Ingot & Sow 99.5% (min) purity,327500
